"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"HK_EU15";"HK_EU27";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_U1";"E_1U6";"E_6U15";"E_15U18";"E_18U25";"E_25U55";"E_55U65";"E_65U80";"E_80U110"
201012;4020313;4;2;3;13;2;1864;905;959;19;132;168;61;133;905;261;151;34;269;573;184;168;147;246;119;433;178;996;470;526;3;25;27;15;87;579;129;103;28;6486;3104;3382;53;195;312;134;500;2878;900;1216;298
201012;4020314;4;2;3;14;2;10;10;0;0;0;0;0;0;3;7;0;0;6;10;4;0;0;0;0;0;0;10;10;0;0;0;0;0;0;3;7;0;0;10;10;0;0;0;0;0;0;3;7;0;0
201012;4030415;4;3;4;15;1;1172;609;563;6;52;70;21;122;707;105;58;31;140;363;146;49;132;114;140;315;59;851;439;412;0;6;9;15;90;599;71;43;18;2556;1231;1325;12;67;93;31;261;1146;259;388;299
201012;4030416;4;3;4;16;1;4471;2215;2256;68;216;502;141;386;2218;501;397;42;519;1000;317;233;353;1294;257;889;445;2509;1264;1245;3;15;84;57;223;1448;340;315;24;9946;4834;5112;122;424;836;243;911;4910;1329;976;195
201012;4030417;4;3;4;17;1;3434;1673;1761;42;223;360;88;232;1826;377;233;53;701;1187;296;301;328;444;186;727;261;1983;983;1000;6;28;80;37;132;1283;228;159;30;10276;4895;5381;81;448;647;195;727;5084;1387;1352;355
201012;4030518;4;3;5;18;1;3313;1667;1646;29;219;276;98;267;1773;361;245;45;417;869;330;240;231;645;226;798;304;1848;924;924;3;18;81;26;142;1154;219;169;36;8886;4324;4562;58;333;439;163;788;4525;1191;1103;286
201012;4030519;4;3;5;19;1;1967;1053;914;48;113;171;57;183;1070;196;111;18;270;554;231;99;108;352;180;485;189;1119;603;516;12;15;36;15;106;707;124;86;18;5157;2603;2554;76;187;262;93;527;2713;589;596;114
201012;4030620;4;3;6;20;1;3224;1617;1607;46;203;293;100;280;1644;390;235;33;365;916;371;220;410;412;266;719;281;1790;918;872;9;42;80;32;167;1068;227;141;24;8248;3867;4381;78;296;458;177;650;3717;1116;1242;514
201012;4030621;4;3;6;21;1;1459;762;697;13;106;146;39;142;762;148;91;12;215;452;160;110;190;228;86;305;88;847;454;393;0;21;26;18;99;541;75;55;12;2876;1545;1331;19;134;197;50;308;1591;292;240;45
201012;4030622;4;3;6;22;1;4099;2066;2033;33;199;401;136;291;2050;603;329;57;615;1114;354;336;402;626;330;921;370;2328;1202;1126;9;26;88;33;181;1358;376;207;50;9808;4798;5010;59;311;577;190;737;4612;1429;1489;404
201012;4030623;4;3;6;23;1;2159;1006;1153;15;132;159;58;180;1134;258;169;54;258;519;173;101;451;232;194;514;148;1279;567;712;0;15;43;12;117;796;164;97;35;4185;1957;2228;31;161;220;83;347;1979;568;612;184
201012;4030724;4;3;7;24;1;1989;940;1049;32;99;176;61;122;978;240;177;104;390;705;205;89;276;181;152;410;176;1099;513;586;6;19;31;18;66;645;131;100;83;6279;2868;3411;53;228;392;138;370;2697;908;1076;417
201012;4030725;4;3;7;25;1;3887;1897;1990;46;216;358;86;299;2090;450;278;64;937;1488;332;244;313;283;229;1081;249;2445;1182;1263;6;30;101;15;222;1560;260;200;51;11277;5489;5788;116;437;708;201;879;5570;1703;1381;282
201012;4030726;4;3;7;26;1;1993;955;1038;19;76;207;43;153;1077;224;149;45;424;740;202;105;223;132;112;539;142;1164;574;590;0;22;42;13;72;745;154;83;33;5093;2416;2677;34;167;335;65;357;2379;781;787;188
201012;4030827;4;3;8;27;1;5228;2684;2544;52;315;483;154;417;2708;587;433;79;848;1556;426;459;504;627;451;1299;332;3178;1656;1522;4;52;130;65;269;1868;414;319;57;10924;5493;5431;93;459;655;234;844;5499;1492;1345;303
201012;4030828;4;3;8;28;1;3561;1787;1774;40;201;244;92;244;1917;515;258;50;785;1174;225;263;268;298;274;1006;278;2180;1128;1052;6;43;45;19;148;1384;325;175;35;9027;4498;4529;55;309;455;159;560;4604;1443;1178;264
201012;4030929;4;3;9;29;1;2202;1143;1059;25;109;173;62;156;1119;304;202;52;521;803;183;129;307;141;117;539;166;1323;732;591;3;12;45;28;93;776;204;125;37;5811;2892;2919;51;210;324;121;350;2800;892;862;201
201012;4030930;4;3;9;30;1;2076;1063;1013;15;123;183;52;88;1068;286;210;51;605;855;120;125;230;108;113;495;150;1273;669;604;0;35;30;12;54;778;194;134;36;5316;2614;2702;34;194;310;105;242;2455;897;880;199
201012;4030931;4;3;9;31;1;1555;778;777;12;65;98;18;112;836;219;131;64;364;551;118;101;206;108;85;390;114;995;523;472;6;13;25;9;72;590;134;94;52;3431;1718;1713;19;102;129;24;217;1655;516;560;209
201012;4031032;4;3;10;32;1;4721;2244;2477;45;251;427;144;285;2445;599;417;108;887;1657;518;340;649;324;192;1172;387;2590;1259;1331;6;34;89;43;164;1590;360;230;74;14026;6636;7390;96;440;748;262;897;6261;2169;2434;719
201012;4041133;4;4;11;33;2;6;3;3;0;0;0;0;0;6;0;0;0;0;3;3;0;0;0;0;3;0;3;3;0;0;0;0;0;0;3;0;0;0;50;24;26;0;0;0;3;0;16;19;6;6
201012;4041134;4;4;11;34;2;1492;723;769;6;82;134;32;145;712;218;132;31;316;507;103;60;302;83;63;329;148;859;378;481;0;10;31;9;123;460;132;75;19;4648;2179;2469;19;146;263;87;304;1700;697;1064;368
201012;4041135;4;4;11;35;2;863;407;456;6;64;112;39;32;373;101;103;33;164;258;52;34;191;37;9;214;120;428;205;223;0;12;21;6;16;245;59;51;18;2732;1258;1474;16;108;199;60;153;942;357;657;240
201012;4041136;4;4;11;36;2;765;349;416;9;37;74;37;37;368;111;63;29;123;228;77;22;136;43;19;242;75;421;192;229;3;3;22;9;28;221;72;37;26;2868;1351;1517;16;94;184;73;105;971;464;713;248
201012;4041137;4;4;11;37;2;2106;988;1118;26;121;215;66;137;1073;257;172;39;286;672;279;155;346;161;92;453;227;1052;499;553;3;9;59;15;78;642;128;88;30;7518;3338;4180;47;194;458;153;503;3080;1071;1511;501
201012;4041238;4;4;12;38;2;1316;637;679;12;117;201;50;57;606;168;81;24;187;393;164;94;212;129;81;303;104;617;297;320;0;32;37;15;30;352;103;33;15;5305;2449;2856;38;239;431;136;267;1913;769;1066;446
201012;4041239;4;4;12;39;2;25;15;10;0;0;0;0;4;15;6;0;0;3;6;3;0;6;3;3;7;0;25;15;10;0;0;0;0;4;15;6;0;0;100;53;47;0;3;7;0;7;55;25;3;0
201012;4041240;4;4;12;40;2;346;180;166;3;16;65;9;19;169;37;15;13;60;96;9;20;51;3;9;122;45;162;64;98;0;0;9;3;13;100;24;6;7;1505;666;839;14;53;113;21;65;513;252;352;122
201012;4041241;4;4;12;41;2;1202;549;653;7;86;122;37;101;536;183;106;24;213;408;133;71;186;77;61;220;179;545;253;292;0;10;21;7;58;296;87;57;9;6353;2780;3573;35;212;377;116;363;2345;1003;1409;493
201012;4041342;4;4;13;42;2;1181;564;617;6;62;72;33;58;559;186;154;51;115;464;294;78;169;97;41;233;99;568;266;302;3;6;18;9;37;309;91;74;21;4020;1797;2223;19;96;159;66;199;1479;733;1017;252
201012;4041343;4;4;13;43;2;970;449;521;9;75;77;36;56;467;161;65;24;101;264;107;57;137;108;18;279;107;490;235;255;0;18;6;15;30;294;82;27;18;3502;1592;1910;21;124;236;76;215;1427;607;613;183
201012;4041344;4;4;13;44;2;2485;1198;1287;40;156;334;75;152;1160;323;212;33;521;804;196;163;215;156;157;787;203;1435;711;724;6;58;87;15;84;810;206;142;27;10524;4674;5850;90;418;804;249;566;4312;1470;1974;641
201012;4051445;4;5;14;45;1;1935;906;1029;22;140;180;49;132;1031;207;124;50;223;530;241;174;239;195;120;469;208;956;456;500;0;10;40;9;74;591;118;76;38;5638;2610;3028;33;222;358;96;374;2553;820;891;291
201012;4051446;4;5;14;46;1;3581;1752;1829;44;239;228;131;231;1813;481;333;81;692;1209;314;193;637;182;144;942;274;2020;1037;983;9;34;69;51;125;1206;271;198;57;9858;4654;5204;74;371;464;192;597;4433;1521;1751;455
201012;4051447;4;5;14;47;1;1846;876;970;31;123;138;52;150;899;264;130;59;338;621;153;129;244;115;81;525;131;1113;549;564;3;40;38;25;87;640;157;83;40;5032;2368;2664;52;224;256;94;350;2177;764;749;366
201012;4051448;4;5;14;48;1;3150;1535;1615;15;127;272;75;203;1666;414;301;77;642;1090;297;171;343;331;138;814;263;1825;900;925;0;15;62;15;122;1139;250;182;40;8472;4114;4358;27;230;393;140;507;3848;1232;1600;495
201012;4051549;4;5;15;49;1;1311;671;640;21;69;179;40;93;688;132;86;3;206;358;128;169;101;170;106;300;107;765;385;380;3;26;79;13;63;443;83;55;0;4028;1939;2089;37;127;280;85;382;1884;506;565;162
201012;4051550;4;5;15;50;1;1795;905;890;21;114;186;54;107;896;250;135;32;321;610;180;186;206;192;108;357;136;980;484;496;6;14;39;18;52;588;142;92;29;5188;2544;2644;39;190;334;108;387;2583;749;657;141
201012;4051551;4;5;15;51;1;1430;691;739;13;81;168;40;114;754;169;88;3;242;460;146;172;178;147;55;303;115;780;385;395;0;15;27;6;58;503;111;57;3;4153;1973;2180;31;149;317;92;354;1983;548;555;124
201012;4051652;4;5;16;52;1;2946;1426;1520;16;164;308;76;183;1504;356;265;74;574;937;243;151;349;247;175;838;249;1658;823;835;7;24;66;22;117;984;234;168;36;9161;4278;4883;45;315;589;172;589;4080;1380;1519;472
201012;4051653;4;5;16;53;1;2214;1078;1136;12;114;188;54;143;1114;353;192;44;420;787;210;211;245;233;85;462;191;1245;630;615;0;18;41;17;94;732;211;119;13;6359;3052;3307;31;196;362;105;389;2789;1049;1149;289
201012;4051654;4;5;16;54;1;822;408;414;9;58;67;18;39;448;113;55;15;127;228;84;55;141;82;15;230;71;454;215;239;0;6;22;6;22;289;70;33;6;2830;1292;1538;21;86;153;36;144;1243;406;484;257
201012;4051655;4;5;16;55;1;2293;1131;1162;37;164;228;93;160;1136;244;173;58;373;688;248;150;299;256;133;583;184;1264;628;636;6;36;42;37;106;733;163;95;46;6504;3114;3390;60;280;388;159;513;3009;870;911;314
201012;4051656;4;5;16;56;1;1876;910;966;24;135;184;35;151;962;216;146;23;329;612;184;136;159;192;93;496;188;972;468;504;3;12;49;7;84;592;114;92;19;7137;3362;3775;67;324;536;150;522;3344;994;984;216
