"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E.x";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"MH_E.y";"HK_EU15";"HK_EU28";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_EU1";"E_E1U6";"E_E6U15";"E_E15U18";"E_E18U25";"E_E25U55";"E_E55U65";"E_E65U80";"E_E80U110"
201412;9010101;9;1;1;1;2;2835;1475;1360;48;245;373;69;217;1702;133;45;3;2835;623;1057;205;181;134;460;200;645;158;1659;864;795;9;32;54;12;149;1294;76;33;0;11330;5648;5682;139;673;872;190;568;6731;874;922;361
201412;9010102;9;1;1;2;2;12;6;6;0;3;3;0;0;3;3;0;0;12;0;3;3;0;0;0;0;9;0;9;6;3;0;0;3;0;0;3;3;0;0;71;33;38;0;3;9;9;0;41;6;3;0
201412;9010201;9;1;2;1;2;559;261;298;6;87;75;21;26;297;35;6;6;559;142;248;53;16;58;48;13;142;34;270;117;153;0;6;3;9;20;209;20;0;3;4252;2038;2214;47;320;313;89;161;2156;353;568;245
201412;9010202;9;1;2;2;2;581;321;260;21;51;40;9;64;357;21;18;0;581;58;217;87;40;46;54;54;131;39;347;193;154;9;12;6;3;40;256;12;9;0;6722;3217;3505;63;177;237;68;400;3037;730;1441;569
201412;9010301;9;1;3;1;2;1455;743;712;32;122;144;18;176;830;92;34;7;1455;232;553;171;106;158;114;82;312;130;808;418;390;3;15;27;0;121;564;54;21;3;14704;6923;7781;138;576;664;145;964;6839;1244;2745;1389
201412;9010302;9;1;3;2;2;543;260;283;9;52;80;40;60;223;34;42;3;543;42;101;34;136;12;179;18;42;55;241;122;119;0;9;10;12;28;121;19;39;3;2943;1471;1472;21;120;257;118;231;1172;409;516;99
201412;9010401;9;1;4;1;2;378;181;197;3;34;37;12;54;195;25;12;6;378;52;173;61;21;54;34;24;53;19;188;84;104;0;9;6;6;41;105;9;9;3;7844;3617;4227;39;255;368;133;381;2834;894;2138;802
201412;9010402;9;1;4;2;2;1074;524;550;22;93;180;42;79;518;88;49;3;1074;126;398;197;104;154;130;40;179;69;476;228;248;3;16;22;15;48;309;30;30;3;10737;5209;5528;128;564;877;230;681;5228;1257;1266;506
201412;9020501;9;2;5;1;2;1080;606;474;18;80;121;34;160;583;60;21;3;1080;94;511;170;179;156;28;32;144;30;777;453;324;6;33;69;28;112;475;39;12;3;6147;3229;2918;79;337;418;130;653;3368;509;423;230
201412;9020502;9;2;5;2;2;1758;933;825;42;146;199;70;217;901;134;36;13;1758;171;605;228;157;336;96;52;432;80;1023;551;472;12;31;60;37;141;643;74;19;6;14214;7068;7146;180;740;906;257;1208;7395;1255;1574;699
201412;9020601;9;2;6;1;2;1293;789;504;21;105;151;30;207;664;76;30;9;1293;138;569;122;83;144;74;120;294;9;950;616;334;9;50;65;20;178;559;48;18;3;7437;3872;3565;99;400;459;119;634;3822;625;884;395
201412;9020602;9;2;6;2;2;139;59;80;0;9;13;12;16;71;12;6;0;139;18;72;9;3;34;6;0;18;6;74;34;40;0;0;0;6;9;50;6;3;0;3434;1620;1814;25;111;209;82;181;1223;489;839;275
201412;9020701;9;2;7;1;2;231;126;105;0;9;3;0;102;108;6;3;0;231;42;72;9;0;39;3;9;108;0;222;120;102;0;9;3;0;96;105;6;3;0;508;312;196;0;9;6;0;138;201;88;54;12
201412;9020702;9;2;7;2;2;1461;760;701;36;170;183;45;162;721;96;39;9;1461;144;506;157;183;233;61;118;306;54;984;506;478;15;84;79;24;120;569;63;24;6;15934;7866;8068;170;739;994;279;1089;7471;1766;2478;948
201412;9020801;9;2;8;1;2;148;57;91;0;6;12;6;9;94;12;6;3;148;15;57;36;0;40;0;6;42;3;73;27;46;0;0;0;0;3;55;12;3;0;2881;1393;1488;33;154;149;54;153;1392;363;405;178
201412;9020802;9;2;8;2;2;752;410;342;18;79;94;25;42;408;52;28;6;752;84;323;175;40;170;26;31;144;18;443;250;193;3;27;18;6;24;310;40;12;3;7268;3617;3651;89;442;642;151;470;3438;736;1020;280
